Suburb,Price,Date,Dayofweek
Abbotsford,1035000,4/02/2016,Thursday
Altona,720000,4/02/2016,Thursday
Bentleigh,1222500,4/02/2016,Thursday
Burwood,1151000,4/02/2016,Thursday
Burwood,1755000,4/02/2016,Thursday
Chadstone,890000,4/02/2016,Thursday
Coburg,675000,4/02/2016,Thursday
Elwood,1395000,4/02/2016,Thursday
Essendon,911000,4/02/2016,Thursday
Footscray,216000,4/02/2016,Thursday
Maidstone,1200000,4/02/2016,Thursday
Maidstone,927000,4/02/2016,Thursday
Maribyrnong,560000,4/02/2016,Thursday
Maribyrnong,560000,4/02/2016,Thursday
Port Melbourne,550000,4/02/2016,Thursday
Richmond,1102000,4/02/2016,Thursday
Thornbury,805000,4/02/2016,Thursday
Yarraville,890000,4/02/2016,Thursday
Ormond,250000,4/02/2016,Thursday
West Footscray,1415000,4/02/2016,Thursday
Albion,765000,4/02/2016,Thursday
Airport West,830000,16/04/2016,Saturday
Albert Park,2000000,16/04/2016,Saturday
Alphington,1540000,16/04/2016,Saturday
Altona,730000,16/04/2016,Saturday
Altona,678000,16/04/2016,Saturday
Armadale,324000,16/04/2016,Saturday
Ascot Vale,1640000,16/04/2016,Saturday
Ascot Vale,1430000,16/04/2016,Saturday
Ascot Vale,610000,16/04/2016,Saturday
Ascot Vale,940000,16/04/2016,Saturday
Avondale Heights,665000,16/04/2016,Saturday
Avondale Heights,560500,16/04/2016,Saturday
Bentleigh,1327500,16/04/2016,Saturday
Bentleigh,1560000,16/04/2016,Saturday
Bentleigh East,920000,16/04/2016,Saturday
Bentleigh East,1050000,16/04/2016,Saturday
Bentleigh East,1560000,16/04/2016,Saturday
Bentleigh East,800000,16/04/2016,Saturday
Bentleigh East,722000,16/04/2016,Saturday
Bentleigh East,930000,16/04/2016,Saturday
Bentleigh East,921000,16/04/2016,Saturday
Bentleigh East,1035000,16/04/2016,Saturday
Box Hill,1600000,16/04/2016,Saturday
Brighton,800000,16/04/2016,Saturday
Brighton,2100000,16/04/2016,Saturday
Brighton East,1620000,16/04/2016,Saturday
Brighton East,940000,16/04/2016,Saturday
Brunswick,825000,16/04/2016,Saturday
Brunswick,860000,16/04/2016,Saturday
Brunswick,830000,16/04/2016,Saturday
Brunswick,936000,16/04/2016,Saturday
Brunswick,1261000,16/04/2016,Saturday
Brunswick,1045000,16/04/2016,Saturday
Brunswick West,711000,16/04/2016,Saturday
Brunswick West,910000,16/04/2016,Saturday
Bulleen,1000000,16/04/2016,Saturday
Burwood,1350000,16/04/2016,Saturday
Carlton North,2520000,16/04/2016,Saturday
Carlton North,1214000,16/04/2016,Saturday
Carnegie,817500,16/04/2016,Saturday
Carnegie,1450000,16/04/2016,Saturday
Carnegie,1000000,16/04/2016,Saturday
Carnegie,855000,16/04/2016,Saturday
Carnegie,675000,16/04/2016,Saturday
Caulfield South,1960000,16/04/2016,Saturday
Caulfield South,825000,16/04/2016,Saturday
Caulfield South,1262000,16/04/2016,Saturday
Coburg,865000,16/04/2016,Saturday
Coburg,485000,16/04/2016,Saturday
Collingwood,1075000,16/04/2016,Saturday
Collingwood,1470000,16/04/2016,Saturday
Doncaster,1485000,16/04/2016,Saturday
Doncaster,1190000,16/04/2016,Saturday
Elsternwick,1071000,16/04/2016,Saturday
Elsternwick,1800000,16/04/2016,Saturday
Elsternwick,2345000,16/04/2016,Saturday
Elsternwick,741000,16/04/2016,Saturday
Elwood,1700000,16/04/2016,Saturday
Elwood,686000,16/04/2016,Saturday
Elwood,560000,16/04/2016,Saturday
Elwood,765000,16/04/2016,Saturday
Essendon,800000,16/04/2016,Saturday
Essendon,1575000,16/04/2016,Saturday
Essendon,280000,16/04/2016,Saturday
Essendon,1467000,16/04/2016,Saturday
Essendon,770000,16/04/2016,Saturday
Essendon,446000,16/04/2016,Saturday
Essendon,890000,16/04/2016,Saturday
Fitzroy,2200000,16/04/2016,Saturday
Fitzroy North,1275000,16/04/2016,Saturday
Fitzroy North,1141000,16/04/2016,Saturday
Flemington,250000,16/04/2016,Saturday
Footscray,375000,16/04/2016,Saturday
Footscray,615000,16/04/2016,Saturday
Glenroy,525000,16/04/2016,Saturday
Gowanbrae,700000,16/04/2016,Saturday
Gowanbrae,485000,16/04/2016,Saturday
Hadfield,510000,16/04/2016,Saturday
Hughesdale,455000,16/04/2016,Saturday
