Month,Avgmonthprice,Type
January,1161998.345,h
March,1214122.274,h
April,1002128.481,h
May,1041810.236,h
June,1052441.131,h
July,942307.3748,h
September,1077908.545,h
November,1149649.784,h
December,1161366.122,h
January,1161998.345,t
February,1153758.767,t
March,1214122.274,t
April,1002128.481,t
May,1041810.236,t
June,1052441.131,t
July,942307.3748,t
September,1077908.545,t
November,1149649.784,t
December,1161366.122,t
January,1161998.345,u
February,1153522.227,u
March,1214122.274,u
April,1002128.481,u
May,1041810.236,u
June,1052441.131,u
July,942307.3748,u
September,1077908.545,u
November,1149649.784,u
December,1161366.122,u
