Suburb,Address,Rooms,Type,Price,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance
Abbotsford,25 Bloomburg St,2,h,1035000,S,4/02/2016,2.5,3067,2,1,0,156,79,1900,Yarra City Council,-37.8079,144.9934,Northern Metropolitan,4019,121,6634.615385,13101.26582,517500,414000
Altona,1/123 Blyth St,2,t,720000,S,4/02/2016,13.8,3018,2,1,2,292,125,2013,Hobsons Bay City Council,-37.8687,144.8197,Western Metropolitan,5301,8,2465.753425,5760,360000,52173.91304
Bentleigh,11A Mortimore St,3,h,1222500,S,4/02/2016,13,3204,3,2,2,299,181,2000,Glen Eira City Council,-37.9272,145.0406,Southern Metropolitan,6795,21,4088.628763,6754.143646,407500,94038.46154
Burwood,163 Highbury Rd,3,h,1151000,S,4/02/2016,11.7,3125,3,1,1,695,,,Monash City Council,-37.8551,145.1121,Southern Metropolitan,5678, ,1656.115108, ,383666.6667,98376.06838
Burwood,30 Station St,3,h,1755000,S,4/02/2016,11.7,3125,3,1,1,931,145,1970,Monash City Council,-37.854,145.1195,Southern Metropolitan,5678,51,1885.069817,12103.44828,585000,150000
Chadstone,8B Moorong St,4,h,890000,VB,4/02/2016,13.6,3148,4,3,2,288,158,2014,Monash City Council,-37.8801,145.1051,Southern Metropolitan,3582,7,3090.277778,5632.911392,222500,65441.17647
Coburg,8 Watchtower Rd,3,h,675000,PI,4/02/2016,7.8,3058,3,1,2,142,123,2005,Darebin City Council,-37.7382,144.973,Northern Metropolitan,11204,16,4753.521127,5487.804878,225000,86538.46154
Elwood,4 Wilton Gr,3,t,1395000,S,4/02/2016,7.7,3184,3,2,1,400,126,1996,Port Phillip City Council,-37.8829,144.9797,Southern Metropolitan,8989,25,3487.5,11071.42857,465000,181168.8312
Essendon,2/96 Cooper St,3,h,911000,S,4/02/2016,8,3040,3,2,2,225,98,2008,Moonee Valley City Council,-37.7454,144.8987,Western Metropolitan,9264,13,4048.888889,9295.918367,303666.6667,113875
Footscray,2/3 Eldridge St,1,u,216000,S,4/02/2016,6.4,3011,1,1,1,0,50,1970,Maribyrnong City Council,-37.7907,144.8924,Western Metropolitan,7570,51, ,4320,216000,33750
Maidstone,26 Inkerman St,3,h,1200000,SP,4/02/2016,9.2,3012,3,1,1,589,,,Maribyrnong City Council,-37.7863,144.881,Western Metropolitan,3873, ,2037.351443, ,400000,130434.7826
Maidstone,12 Lindenow St,2,h,927000,S,4/02/2016,9.2,3012,2,1,4,524,139,,Maribyrnong City Council,-37.779,144.8832,Western Metropolitan,3873, ,1769.083969,6669.064748,463500,100760.8696
Maribyrnong,6 Kynoch La,3,t,560000,VB,4/02/2016,8.7,3032,3,2,2,77,115,2004,Maribyrnong City Council,-37.7746,144.8798,Western Metropolitan,4918,17,7272.727273,4869.565217,186666.6667,64367.81609
Maribyrnong,53 Wests Rd,3,t,560000,VB,4/02/2016,8.7,3032,3,2,2,83,,2000,Maribyrnong City Council,-37.7719,144.8815,Western Metropolitan,4918,21,6746.987952, ,186666.6667,64367.81609
Port Melbourne,404/101 Bay St,2,u,550000,S,4/02/2016,3.8,3207,2,1,1,0,57,2012,Melbourne City Council,-37.8408,144.94,Southern Metropolitan,8648,9, ,9649.122807,275000,144736.8421
Richmond,234 Coppin St,3,h,1102000,S,4/02/2016,2.6,3121,3,2,0,194,,,Yarra City Council,-37.8265,145.0022,Northern Metropolitan,14949, ,5680.412371, ,367333.3333,423846.1538
Thornbury,3/125 Fyffe St,2,t,805000,S,4/02/2016,6.5,3071,2,1,2,164,95,2009,Darebin City Council,-37.7536,144.9825,Northern Metropolitan,8870,12,4908.536585,8473.684211,402500,123846.1538
Yarraville,29 Newcastle St,2,h,890000,S,4/02/2016,7,3013,2,1,0,166,,1920,Maribyrnong City Council,-37.8209,144.8913,Western Metropolitan,6543,101,5361.445783, ,445000,127142.8571
Ormond,7/30 Walsh St,1,u,250000,VB,4/02/2016,11.8,3204,1,1,1,0,36,1960,Glen Eira City Council,-37.9028,145.0475,Southern Metropolitan,3578,61, ,6944.444444,250000,21186.44068
West Footscray,742 Barkly St,3,h,1415000,PI,4/02/2016,8.2,3012,3,1,6,970,,1955,Maribyrnong City Council,-37.7958,144.8645,Western Metropolitan,5058,66,1458.762887, ,471666.6667,172560.9756
Albion,7 Dalworth St,2,h,765000,SA,4/02/2016,13.9,3020,2,1,2,672,111,1958,Brimbank City Council,-37.7812,144.8121,Western Metropolitan,2185,63,1138.392857,6891.891892,382500,55035.97122
Airport West,180 Parer Rd,3,h,830000,S,16/04/2016,13.5,3042,3,1,2,971,113,1960,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan,3464,61,854.7888774,7345.132743,276666.6667,61481.48148
Albert Park,86 Mills St,3,h,2000000,VB,16/04/2016,3.3,3206,3,2,1,211,147,1900,Port Phillip City Council,-37.847,144.9575,Southern Metropolitan,3280,121,9478.672986,13605.44218,666666.6667,606060.6061
Alphington,44 Naroon Rd,3,h,1540000,S,16/04/2016,6.4,3078,3,1,2,592,,,Darebin City Council,-37.7755,145.0288,Northern Metropolitan,2211, ,2601.351351, ,513333.3333,240625
Altona,1/57 Blyth St,3,u,730000,SP,16/04/2016,13.8,3018,3,2,1,70,,,Hobsons Bay City Council,-37.868,144.8287,Western Metropolitan,5301, ,10428.57143, ,243333.3333,52898.55072
Altona,22 Fenfield St,3,h,678000,S,16/04/2016,13.8,3018,3,1,2,606,87,1950,Hobsons Bay City Council,-37.8608,144.8124,Western Metropolitan,5301,71,1118.811881,7793.103448,226000,49130.43478
Armadale,8/569 Orrong Rd,1,u,324000,S,16/04/2016,6.3,3143,1,1,1,0,,,Stonnington City Council,-37.8537,145.0114,Southern Metropolitan,4836, , , ,324000,51428.57143
Ascot Vale,7 Angler Pde,4,h,1640000,S,16/04/2016,5.9,3032,4,3,2,562,204,1890,Moonee Valley City Council,-37.782,144.903,Western Metropolitan,6567,131,2918.149466,8039.215686,410000,277966.1017
Ascot Vale,26 Ayr St,6,h,1430000,S,16/04/2016,5.9,3032,4,2,1,461,286,1900,Moonee Valley City Council,-37.78,144.9295,Western Metropolitan,6567,121,3101.952278,5000,357500,242372.8814
Ascot Vale,2/127 Epsom Rd,2,u,610000,SP,16/04/2016,5.9,3032,2,1,1,301,104,1995,Moonee Valley City Council,-37.7791,144.914,Western Metropolitan,6567,26,2026.578073,5865.384615,305000,103389.8305
Ascot Vale,57 The Parade,3,h,940000,S,16/04/2016,5.9,3032,3,3,1,491,127,1950,Moonee Valley City Council,-37.7727,144.9136,Western Metropolitan,6567,71,1914.460285,7401.574803,313333.3333,159322.0339
Avondale Heights,16a Arbor Tce,3,u,665000,S,16/04/2016,10.5,3034,3,2,1,289,,,Moonee Valley City Council,-37.7644,144.8657,Western Metropolitan,4502, ,2301.038062, ,221666.6667,63333.33333
Avondale Heights,40a Herbert St,3,h,560500,S,16/04/2016,10.5,3034,3,1,1,177,,,Moonee Valley City Council,-37.7664,144.8583,Western Metropolitan,4502, ,3166.666667, ,186833.3333,53380.95238
Bentleigh,4 Leckie St,3,h,1327500,S,16/04/2016,13,3204,3,1,2,700,,,Glen Eira City Council,-37.9228,145.0476,Southern Metropolitan,6795, ,1896.428571, ,442500,102115.3846
Bentleigh,43 Wavell St,4,h,1560000,PI,16/04/2016,13,3204,4,3,1,695,,,Glen Eira City Council,-37.9149,145.0469,Southern Metropolitan,6795, ,2244.604317, ,390000,120000
Bentleigh East,32a Argyle St,3,t,920000,S,16/04/2016,13.9,3165,3,2,1,343,,,Glen Eira City Council,-37.9112,145.0738,Southern Metropolitan,10969, ,2682.215743, ,306666.6667,66187.05036
Bentleigh East,12 Barrani St,3,h,1050000,S,16/04/2016,13.9,3165,3,1,4,726,131,1950,Glen Eira City Council,-37.9117,145.0695,Southern Metropolitan,10969,71,1446.280992,8015.267176,350000,75539.56835
Bentleigh East,45 Browns Rd,3,h,1560000,S,16/04/2016,13.9,3165,3,1,2,841,,,Glen Eira City Council,-37.9217,145.056,Southern Metropolitan,10969, ,1854.934602, ,520000,112230.2158
Bentleigh East,25 Glover St,4,h,800000,PI,16/04/2016,13.9,3165,4,2,2,601,,,Glen Eira City Council,-37.9278,145.081,Southern Metropolitan,10969, ,1331.114809, ,200000,57553.95683
Bentleigh East,21 Highview Rd,2,h,722000,S,16/04/2016,13.9,3165,2,2,1,201,79,2005,Glen Eira City Council,-37.9293,145.0657,Southern Metropolitan,10969,16,3592.039801,9139.240506,361000,51942.44604
Bentleigh East,18 Normanby Rd,3,h,930000,SP,16/04/2016,13.9,3165,3,1,2,588,133,1960,Glen Eira City Council,-37.9286,145.069,Southern Metropolitan,10969,61,1581.632653,6992.481203,310000,66906.47482
Bentleigh East,93 Tudor St,3,h,921000,S,16/04/2016,13.9,3165,3,2,1,291,119,2000,Glen Eira City Council,-37.919,145.0829,Southern Metropolitan,10969,21,3164.948454,7739.495798,307000,66258.99281
Bentleigh East,23 York St,4,h,1035000,PI,16/04/2016,13.9,3165,3,1,2,610,160,1950,Glen Eira City Council,-37.9193,145.0691,Southern Metropolitan,10969,71,1696.721311,6468.75,345000,74460.43165
Box Hill,55 Albion Rd,4,h,1600000,S,16/04/2016,13.1,3128,4,2,1,692,195,1890,Whitehorse City Council,-37.8247,145.1281,Eastern Metropolitan,4605,131,2312.138728,8205.128205,400000,122137.4046
Brighton,2/61 Black St,2,u,800000,VB,16/04/2016,11.2,3186,2,1,1,131,,,Bayside City Council,-37.9164,145.0002,Southern Metropolitan,10579, ,6106.870229, ,400000,71428.57143
Brighton,31 Orchard St,5,h,2100000,PI,16/04/2016,11.2,3186,5,5,2,552,219,1920,Bayside City Council,-37.9012,144.997,Southern Metropolitan,10579,101,3804.347826,9589.041096,420000,187500
Brighton East,6 Balfour St,3,h,1620000,S,16/04/2016,10.7,3187,3,2,4,678,,,Bayside City Council,-37.9208,145.0126,Southern Metropolitan,6938, ,2389.380531, ,540000,151401.8692
Brighton East,2/111 Thomas St,3,t,940000,S,16/04/2016,10.7,3187,3,2,3,0,,2004,Bayside City Council,-37.9089,145.0246,Southern Metropolitan,6938,17, , ,313333.3333,87850.46729
Brunswick,311 Albion St,3,h,825000,S,16/04/2016,5.2,3056,3,1,1,210,130,1900,Moreland City Council,-37.7597,144.9545,Northern Metropolitan,11918,121,3928.571429,6346.153846,275000,158653.8462
Brunswick,46 Cassels Rd,2,h,860000,S,16/04/2016,5.2,3056,3,1,2,352,,1900,Moreland City Council,-37.7566,144.9599,Northern Metropolitan,11918,121,2443.181818, ,286666.6667,165384.6154
Brunswick,50 Davies St,2,h,830000,S,16/04/2016,5.2,3056,2,1,1,319,,,Moreland City Council,-37.7572,144.9686,Northern Metropolitan,11918, ,2601.880878, ,415000,159615.3846
Brunswick,58 Donald St,2,h,936000,S,16/04/2016,5.2,3056,2,1,2,200,,,Moreland City Council,-37.7581,144.9678,Northern Metropolitan,11918, ,4680, ,468000,180000
Brunswick,175 Edward St,3,h,1261000,S,16/04/2016,5.2,3056,2,1,1,216,100,1910,Moreland City Council,-37.7746,144.9697,Northern Metropolitan,11918,111,5837.962963,12610,630500,242500
Brunswick,84 Stewart St,3,h,1045000,S,16/04/2016,5.2,3056,3,1,2,222,105,1890,Moreland City Council,-37.7642,144.969,Northern Metropolitan,11918,131,4707.207207,9952.380952,348333.3333,200961.5385
Brunswick West,201 Hope St,2,h,711000,S,16/04/2016,5.9,3055,2,1,1,177,87,1910,Moreland City Council,-37.7619,144.9412,Northern Metropolitan,7082,111,4016.949153,8172.413793,355500,120508.4746
Brunswick West,7 Zeal St,2,h,910000,S,16/04/2016,5.9,3055,2,1,4,576,,,Moreland City Council,-37.7578,144.9439,Northern Metropolitan,7082, ,1579.861111, ,455000,154237.2881
Bulleen,71 Summit Dr,4,h,1000000,VB,16/04/2016,11.8,3105,4,2,3,672,212,1970,Manningham City Council,-37.7689,145.0895,Eastern Metropolitan,4480,51,1488.095238,4716.981132,250000,84745.76271
Burwood,29 Meldan St,2,h,1350000,S,16/04/2016,11.7,3125,2,1,2,593,82,1950,Monash City Council,-37.8444,145.1054,Southern Metropolitan,5678,71,2276.559865,16463.41463,675000,115384.6154
Carlton North,1018 Drummond St,4,h,2520000,S,16/04/2016,3.2,3054,4,2,2,504,168,1890,Melbourne City Council,-37.7805,144.9721,Northern Metropolitan,3106,131,5000,15000,630000,787500
Carlton North,354 Station St,3,h,1214000,S,16/04/2016,3.2,3054,3,3,1,144,,,Melbourne City Council,-37.7885,144.9757,Northern Metropolitan,3106, ,8430.555556, ,404666.6667,379375
Carnegie,25 Arawatta St,2,h,817500,S,16/04/2016,11.4,3163,2,1,1,211,102,2002,Glen Eira City Council,-37.8856,145.0599,Southern Metropolitan,7822,19,3874.407583,8014.705882,408750,71710.52632
Carnegie,48 Lyons St,4,h,1450000,PI,16/04/2016,11.4,3163,4,2,2,557,200,1938,Glen Eira City Council,-37.8955,145.0515,Southern Metropolitan,7822,83,2603.231598,7250,362500,127192.9825
Carnegie,51 Mimosa Rd,3,h,1000000,PI,16/04/2016,11.4,3163,3,2,1,390,,,Glen Eira City Council,-37.8905,145.0518,Southern Metropolitan,7822, ,2564.102564, ,333333.3333,87719.29825
Carnegie,2/79 Mimosa Rd,2,t,855000,S,16/04/2016,11.4,3163,2,1,1,158,106,1994,Glen Eira City Council,-37.8886,145.052,Southern Metropolitan,7822,27,5411.392405,8066.037736,427500,75000
Carnegie,2/61 Moonya Rd,2,h,675000,S,16/04/2016,11.4,3163,2,1,1,0,90,1968,Glen Eira City Council,-37.8973,145.0625,Southern Metropolitan,7822,53, ,7500,337500,59210.52632
Caulfield South,28 Ellington St,4,h,1960000,PI,16/04/2016,9.3,3162,5,3,4,708,,,Glen Eira City Council,-37.8923,145.0177,Southern Metropolitan,5051, ,2768.361582, ,392000,210752.6882
Caulfield South,23 Lygon St,2,h,825000,S,16/04/2016,9.3,3162,2,1,1,367,85,1930,Glen Eira City Council,-37.8995,145.0241,Southern Metropolitan,5051,91,2247.956403,9705.882353,412500,88709.67742
Caulfield South,136 Sycamore St,2,h,1262000,S,16/04/2016,9.3,3162,4,2,2,464,272,2016,Glen Eira City Council,-37.8901,145.0224,Southern Metropolitan,5051,5,2719.827586,4639.705882,315500,135698.9247
Coburg,12 Gordon St,4,h,865000,S,16/04/2016,7.8,3058,4,1,1,452,125,1925,Darebin City Council,-37.7525,144.948,Northern Metropolitan,11204,96,1913.716814,6920,216250,110897.4359
Coburg,11/5 Industry La,2,u,485000,VB,16/04/2016,7.8,3058,2,2,1,0,96,1880,Darebin City Council,-37.7367,144.9701,Northern Metropolitan,11204,141, ,5052.083333,242500,62179.48718
